int_rate,loan_cost_proxy,term,payment_to_income,dti,fico_avg,emp_length,home_ownership_RENT,high_dti_flag,loan_amnt,purpose_vacation,pub_rec,purpose_credit_card,inq_last_6mths,purpose_house,annual_inc,has_pub_rec,purpose_other,revol_bal,delinq_2yrs
11.99,1516.735,36.0,0.11199946680885098,22.91,667.0,3.0,True,1,12650.0,False,1.0,False,0.0,False,45000.0,1,False,11150.0,0.0
12.88,1545.6,60.0,0.035514063383036996,9.94,692.0,6.0,False,0,12000.0,False,0.0,True,2.0,False,92000.0,0,False,7066.0,0.0
11.48,574.0,36.0,0.02197573656845754,17.41,677.0,10.0,True,0,5000.0,False,0.0,False,0.0,False,90000.0,0,False,21553.0,0.0
14.48,724.0,36.0,0.04128449172198672,34.37,677.0,10.0,False,1,5000.0,False,0.0,False,3.0,False,50000.0,0,False,7384.0,2.0
7.49,1423.1,36.0,0.12223815762256086,14.01,702.0,9.0,False,0,19000.0,False,0.0,False,1.0,False,58000.0,0,False,29581.0,0.0
18.49,2015.4099999999996,36.0,0.12203937250076899,36.71,697.0,2.0,False,1,10900.0,False,0.0,False,0.0,False,39000.0,0,False,5005.0,0.0
22.45,6286.0,60.0,0.10069926461101793,17.73,717.0,8.0,True,0,28000.0,False,0.0,False,1.0,False,93000.0,0,False,17698.0,0.0
9.17,917.0,36.0,0.03326157270545682,10.16,707.0,10.0,False,0,10000.0,False,0.0,True,0.0,False,115000.0,0,False,5158.0,0.0
18.99,1224.8549999999998,36.0,0.12887515900417953,15.88,767.0,6.0,True,0,6450.0,False,0.0,False,0.0,False,22000.0,0,True,977.0,0.0
9.17,1375.5,36.0,0.06039531848608597,3.21,662.0,4.0,True,0,15000.0,False,1.0,True,0.0,False,95000.0,1,False,8661.0,0.0
10.64,1170.4,36.0,0.06140547334742616,35.28,697.0,2.0,True,1,11000.0,False,0.0,False,0.0,False,70000.0,0,False,399.0,1.0
7.91,1977.5,36.0,0.0757068670773796,23.61,682.0,10.0,False,1,25000.0,False,0.0,True,1.0,False,124000.0,0,False,15668.0,0.0
15.77,1261.6,36.0,0.05104155603768719,21.74,682.0,3.0,True,1,8000.0,False,0.0,False,3.0,False,65899.0,0,False,17526.0,3.0
12.88,2769.2,36.0,0.05104439686610357,20.25,677.0,0.0,False,1,21500.0,False,1.0,False,0.0,False,170000.0,1,False,14549.0,1.0
8.38,754.2,36.0,0.04726045659056824,9.56,717.0,6.0,True,0,9000.0,False,0.0,True,0.0,False,72000.0,0,False,9298.0,0.0
10.78,1293.6,36.0,0.05737181365367712,11.59,687.0,0.0,True,0,12000.0,False,0.0,True,0.0,False,81900.0,0,False,10874.0,1.0
13.44,4032.0,60.0,0.06617316737593192,9.15,722.0,10.0,False,0,30000.0,False,0.0,True,0.0,False,125000.0,0,False,5352.0,0.0
19.48,4090.8,60.0,0.04953375337533754,24.17,717.0,10.0,False,1,21000.0,False,0.0,True,4.0,False,133308.0,0,False,45924.0,0.0
15.77,906.775,36.0,0.0371949793884206,14.32,672.0,4.0,True,0,5750.0,False,1.0,False,1.0,False,65000.0,1,False,5099.0,0.0
7.91,2768.5,36.0,0.16848638670973695,11.31,752.0,3.0,False,0,35000.0,False,0.0,False,0.0,False,78000.0,0,False,36351.0,0.0
14.85,2227.5,60.0,0.05766686483272983,22.71,692.0,3.0,False,1,15000.0,False,1.0,False,2.0,False,74000.0,1,False,14963.0,1.0
7.26,871.2,36.0,0.051110373177909334,21.55,732.0,10.0,False,1,12000.0,False,0.0,False,0.0,False,87319.0,0,False,3962.0,0.0
9.8,1470.0,36.0,0.0643394214104786,33.75,662.0,10.0,True,1,15000.0,False,1.0,True,3.0,False,90000.0,1,False,5215.0,13.0
9.8,1078.0000000000002,36.0,0.10108826049700087,28.46,687.0,0.0,True,1,11000.0,False,0.0,False,0.0,False,42000.0,0,False,6222.0,0.0
7.91,822.64,36.0,0.10961046250561293,21.46,702.0,8.0,True,1,10400.0,False,0.0,False,0.0,False,35620.0,0,False,19133.0,0.0
7.26,508.2,36.0,0.0347223555768923,15.84,717.0,5.0,True,0,7000.0,False,0.0,False,1.0,False,74976.0,0,False,14423.0,0.0
18.2,2730.0,60.0,0.088873228529389,19.38,677.0,10.0,False,0,15000.0,False,0.0,False,0.0,False,51640.0,0,False,8516.0,0.0
6.49,504.5975,36.0,0.0714595621313606,13.41,752.0,9.0,False,0,7775.0,False,0.0,True,0.0,False,40000.0,0,False,5361.0,0.0
